label,prompt_tokens,completion_tokens,total_tokens,finish_reason,model,source_shard
688026_chunks_0016_0016,4977,151,5128,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0017_0017,4965,170,5135,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0018_0018,4998,222,5220,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0019_0019,5020,375,5395,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0020_0020,4929,293,5222,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0021_0021,5044,211,5255,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0022_0022,5047,203,5250,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0023_0023,5062,299,5361,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0024_0024,4398,235,4633,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0001_0001,5034,253,5287,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0002_0002,5026,207,5233,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0003_0003,5060,234,5294,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0004_0004,5053,308,5361,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0005_0005,5033,230,5263,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0006_0006,5055,262,5317,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0007_0007,5056,234,5290,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0008_0008,5060,237,5297,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0009_0009,4772,188,4960,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0010_0010,4391,180,4571,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0011_0011,4907,198,5105,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0012_0012,4715,208,4923,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037_chunks_0013_0013,2341,233,2574,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0001_0001,5062,195,5257,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0002_0002,5043,178,5221,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0003_0003,5043,240,5283,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0004_0004,5058,245,5303,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0005_0005,5059,229,5288,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0006_0006,5063,241,5304,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0007_0007,4962,236,5198,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0008_0008,5057,234,5291,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0009_0009,5056,334,5390,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0010_0010,4901,163,5064,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0011_0011,5032,219,5251,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0012_0012,5034,239,5273,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0013_0013,5049,244,5293,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0014_0014,5030,223,5253,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039_chunks_0015_0015,1974,203,2177,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0001_0001,5051,261,5312,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0002_0002,5020,235,5255,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0003_0003,5012,198,5210,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0004_0004,5058,191,5249,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0005_0005,5060,259,5319,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0006_0006,5044,268,5312,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0007_0007,4798,247,5045,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0008_0008,5050,223,5273,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0009_0009,4844,220,5064,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0010_0010,5042,200,5242,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0011_0011,5055,240,5295,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0012_0012,5045,210,5255,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0013_0013,4785,233,5018,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0014_0014,5046,247,5293,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688080_chunks_0015_0015,2966,233,3199,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0001_0001,5018,211,5229,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0002_0002,5018,329,5347,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0003_0003,5062,237,5299,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0004_0004,5049,230,5279,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0005_0005,5052,231,5283,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0006_0006,5059,219,5278,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0007_0007,4925,251,5176,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0008_0008,5064,200,5264,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0009_0009,4768,275,5043,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0010_0010,5040,101,5141,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0011_0011,4919,190,5109,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0012_0012,5040,217,5257,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0013_0013,5044,254,5298,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0014_0014,4805,220,5025,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0015_0015,4940,290,5230,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089_chunks_0016_0016,4542,208,4750,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0001_0001,5055,192,5247,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0002_0002,5063,203,5266,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0003_0003,5063,241,5304,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0004_0004,5025,200,5225,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0005_0005,4824,230,5054,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0006_0006,5056,171,5227,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0007_0007,5044,216,5260,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0008_0008,4556,242,4798,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0009_0009,5063,280,5343,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0010_0010,4833,238,5071,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0011_0011,5026,158,5184,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0012_0012,5056,221,5277,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0013_0013,5021,218,5239,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0014_0014,5042,222,5264,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0015_0015,4983,239,5222,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0016_0016,5053,222,5275,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0017_0017,4665,162,4827,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0018_0018,4963,168,5131,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0019_0019,4914,207,5121,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0020_0020,5064,221,5285,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0021_0021,4964,181,5145,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0022_0022,5018,200,5218,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688100_chunks_0023_0023,2751,254,3005,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0001_0001,5016,207,5223,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0002_0002,5025,241,5266,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0003_0003,5061,192,5253,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0004_0004,5041,264,5305,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0005_0005,5056,212,5268,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0006_0006,5034,218,5252,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0007_0007,5061,238,5299,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0008_0008,5058,281,5339,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0009_0009,5032,285,5317,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0010_0010,5029,203,5232,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0011_0011,4559,281,4840,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0012_0012,5045,222,5267,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0013_0013,4805,226,5031,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0014_0014,4808,169,4977,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0015_0015,5063,246,5309,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0016_0016,5028,168,5196,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0017_0017,4430,168,4598,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0018_0018,5043,189,5232,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0019_0019,4901,322,5223,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0020_0020,5062,332,5394,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0021_0021,5026,252,5278,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688158_chunks_0022_0022,1215,162,1377,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0001_0001,4942,204,5146,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0002_0002,4939,188,5127,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0003_0003,5050,207,5257,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0004_0004,4996,264,5260,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0005_0005,5035,214,5249,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0006_0006,5061,223,5284,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0007_0007,4709,217,4926,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0008_0008,4760,269,5029,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0009_0009,4951,169,5120,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0010_0010,4782,181,4963,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0011_0011,5052,183,5235,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0012_0012,5050,243,5293,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0013_0013,4825,317,5142,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0014_0014,4983,232,5215,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688178_chunks_0015_0015,4126,234,4360,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0001_0001,5024,179,5203,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0002_0002,5034,212,5246,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0003_0003,5007,212,5219,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0004_0004,5062,193,5255,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0005_0005,4841,224,5065,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0006_0006,5038,231,5269,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0007_0007,5046,254,5300,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0008_0008,4967,266,5233,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0009_0009,4667,197,4864,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0010_0010,4905,127,5032,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0011_0011,5024,217,5241,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0012_0012,4885,289,5174,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0013_0013,5055,196,5251,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0014_0014,4868,205,5073,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0015_0015,5052,221,5273,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0016_0016,4528,189,4717,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181_chunks_0017_0017,3371,285,3656,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0001_0001,5059,218,5277,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0002_0002,5048,237,5285,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0003_0003,5032,168,5200,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0004_0004,5015,213,5228,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0005_0005,5042,231,5273,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0006_0006,5026,214,5240,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0007_0007,5050,193,5243,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0008_0008,5046,187,5233,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0009_0009,5052,222,5274,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0010_0010,5049,165,5214,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0011_0011,5043,189,5232,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0012_0012,4874,198,5072,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0013_0013,4469,285,4754,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0014_0014,4996,205,5201,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0015_0015,5048,240,5288,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0016_0016,5050,206,5256,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0017_0017,5045,152,5197,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0018_0018,5056,190,5246,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0019_0019,5051,206,5257,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0020_0020,5012,189,5201,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688186_chunks_0021_0021,3530,251,3781,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0001_0001,5046,219,5265,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0002_0002,5038,208,5246,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0003_0003,5059,347,5406,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0004_0004,5055,183,5238,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0005_0005,5062,207,5269,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0006_0006,5063,343,5406,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0007_0007,5055,209,5264,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0008_0008,5061,276,5337,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0009_0009,5051,220,5271,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0010_0010,5057,234,5291,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0011_0011,5061,235,5296,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0012_0012,4525,182,4707,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0013_0013,4147,250,4397,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0014_0014,5035,209,5244,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0015_0015,5040,207,5247,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0016_0016,5050,237,5287,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0017_0017,5051,273,5324,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0018_0018,4966,206,5172,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0019_0019,5026,256,5282,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0020_0020,4943,200,5143,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198_chunks_0021_0021,2202,158,2360,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688208_chunks_0001_0001,5031,218,5249,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688208_chunks_0002_0002,5063,269,5332,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
