ts,label,sec_code,chunks,prompt_chars,items_returned,prompt_tokens,completion_tokens,total_tokens,model,source_shard
2026-07-08T16:24:32,688677_chunks_0014_0014,688677,1,6159,1,3423,265,3688,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:26:11,688079_chunks_0012_0012,688079,1,7486,1,4234,201,4435,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:29:03,688696_chunks_0021_0021,688696,1,8462,1,5020,245,5265,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:31:13,688328_chunks_0016_0016,688328,1,2529,1,1416,202,1618,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:33:56,688676_chunks_0020_0020,688676,1,1978,1,1116,105,1221,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:36:51,688083_chunks_0021_0021,688083,1,6659,1,3748,211,3959,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:39:26,688316_chunks_0020_0020,688316,1,4587,1,2539,219,2758,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:40:35,688616_chunks_0014_0014,688616,1,8533,1,4917,184,5101,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:42:49,688092_chunks_0017_0017,688092,1,2672,1,1488,177,1665,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:46:33,688609_chunks_0028_0028,688609,1,5904,1,3201,287,3488,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:48:00,688633_chunks_0011_0011,688633,1,7997,1,4668,211,4879,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:50:25,688606_chunks_0018_0018,688606,1,3956,1,2218,296,2514,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:52:10,688195_chunks_0013_0013,688195,1,8425,1,4916,235,5151,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:53:21,688329_chunks_0009_0009,688329,1,5393,1,3120,191,3311,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:55:07,688661_chunks_0013_0013,688661,1,7287,1,4515,183,4698,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:57:06,688109_chunks_0015_0015,688109,1,6687,1,3754,201,3955,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T16:59:51,688626_chunks_0020_0020,688626,1,8284,1,4735,201,4936,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:01:58,688659_chunks_0016_0016,688659,1,2441,1,1361,149,1510,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:03:55,688630_chunks_0014_0014,688630,1,3136,1,1707,182,1889,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:06:35,688662_chunks_0018_0018,688662,1,6287,1,3623,293,3916,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:09:04,688260_chunks_0017_0017,688260,1,5635,1,3198,204,3402,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:11:33,688191_chunks_0018_0018,688191,1,5968,1,3506,234,3740,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:14:12,688636_chunks_0020_0020,688636,1,6981,1,4121,228,4349,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:16:30,688468_chunks_0017_0017,688468,1,4917,1,2774,273,3047,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:18:05,688611_chunks_0012_0012,688611,1,6690,1,3666,245,3911,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:20:13,688683_chunks_0016_0016,688683,1,8399,1,4949,273,5222,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard4_20260708
2026-07-08T17:20:47,688533_chunks_0012_0012,688533,1,5128,1,2791,253,3044,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:22:23,688682_chunks_0012_0012,688682,1,2774,1,1538,189,1727,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:24:29,688201_chunks_0016_0016,688201,1,8840,1,4936,231,5167,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:26:17,688639_chunks_0013_0013,688639,1,7611,1,4692,237,4929,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:27:40,688323_chunks_0010_0010,688323,1,3284,1,1854,200,2054,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:29:43,688383_chunks_0015_0015,688383,1,6694,1,3739,249,3988,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:31:08,688395_chunks_0011_0011,688395,1,2451,1,1350,140,1490,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:33:20,688113_chunks_0015_0015,688113,1,6597,1,3919,326,4245,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:35:52,688655_chunks_0017_0017,688655,1,7449,1,4429,234,4663,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:38:32,688097_chunks_0020_0020,688097,1,4309,1,2286,206,2492,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:41:03,688355_chunks_0018_0018,688355,1,4611,1,2573,256,2829,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:43:04,688565_chunks_0014_0014,688565,1,2140,1,1207,130,1337,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:45:11,688217_chunks_0016_0016,688217,1,2818,1,1583,197,1780,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:48:41,688575_chunks_0026_0026,688575,1,5350,1,2950,282,3232,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:50:45,688314_chunks_0012_0012,688314,1,4278,1,2541,322,2863,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:53:45,688660_chunks_0021_0021,688660,1,4167,1,2373,294,2667,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:57:24,688076_chunks_0027_0027,688076,1,2107,1,1226,150,1376,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T17:59:27,688359_chunks_0015_0015,688359,1,4287,1,2635,249,2884,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
2026-07-08T18:01:34,688613_chunks_0016_0016,688613,1,5809,1,3356,249,3605,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard5_20260708
